0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4,10,16,6,7,3,0,1,0,0,0
0,0,0,3,21,55,124,153,185,112,61,16,4,1,0,0
0,0,4,42,225,631,1338,1952,1984,1346,678,199,55,4,1,0
0,13,46,319,1512,4711,10292,15171,15293,10482,4944,1598,365,57,4,0
4,17,251,1793,8024,25464,54665,80601,81184,56098,26375,8480,1864,288,28,3
6,104,919,6463,29335,92224,198423,291603,293200,202716,95376,31303,6862,1031,108,9
19,267,2343,15937,73324,229077,492210,722631,729430,503172,237815,77340,17057,2584,264,22
22,432,4064,27280,123507,389928,835771,1229623,1239248,854205,403976,131192,29196,4353,489,23
33,540,4749,31642,145180,453741,973588,1430389,1442842,996576,471670,152592,34026,5203,552,54
27,383,3835,25249,115263,361957,778696,1144768,1151901,793993,376091,121213,26973,4114,431,36
14,214,2101,13969,63038,197809,424842,625015,630557,434324,205115,66969,14994,2236,241,11
4,87,752,5247,23763,73714,159606,233916,235849,162113,77208,25039,5502,841,90,4
2,20,202,1284,6135,19133,40971,59540,60624,41976,19639,6456,1410,205,24,1
0,5,45,245,1202,3757,8065,11895,11974,8346,4042,1292,291,51,7,0
